sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid
Male,19,Less than 25,Hispanic,0,4,0,0,0,275.0570068359375,11.400992393493652,215.63031005859375,48.29024124145508,F,0
Female,31,25 - 45,African-American,0,1,0,0,0,122.33990478515625,5.052851676940918,-90.48275756835938,6.1848273277282715,M,0
Male,39,25 - 45,African-American,0,3,0,0,1,5.57733154296875,8.277314186096191,-48.3477783203125,25.98162269592285,M,0
Male,20,25 - 45,African-American,0,9,0,0,3,-99.66720581054688,9.145366668701172,-48.99595642089844,42.734046936035156,F,1
Male,29,25 - 45,African-American,0,2,0,0,6,-34.0374755859375,13.621459007263184,-47.597625732421875,39.319156646728516,F,1
Male,41,25 - 45,African-American,0,3,0,0,1,-8.981536865234375,7.006170272827148,-72.47383117675781,19.58536148071289,M,0
Male,49,25 - 45,African-American,0,6,0,0,2,-95.7921142578125,6.796153545379639,-73.26661682128906,21.727571487426758,M,0
Male,27,25 - 45,African-American,0,3,0,0,7,-11.161590576171875,15.915508270263672,-68.02188110351562,38.05758285522461,F,1
Male,39,25 - 45,Caucasian,0,2,0,0,2,-54.943359375,20.495267868041992,134.65234375,94.40994262695312,F,1
Male,44,Less than 25,Hispanic,0,2,0,0,0,10.896759033203125,7.6808576583862305,86.8328857421875,40.74639129638672,F,0
Male,32,25 - 45,African-American,0,6,0,0,4,-77.31201171875,11.416661262512207,-41.420196533203125,60.72017288208008,F,0
Male,23,Less than 25,Hispanic,0,6,0,0,0,-28.42315673828125,7.6773481369018555,91.30532836914062,51.73164367675781,M,1
Male,31,25 - 45,Caucasian,0,9,0,0,12,-210.7448272705078,13.695018768310547,-19.136688232421875,75.78453063964844,F,1
Male,36,25 - 45,African-American,0,5,0,0,2,-32.321441650390625,6.548093795776367,-81.29905700683594,27.802488327026367,M,0
Male,21,25 - 45,African-American,0,9,0,0,7,-38.161376953125,13.833420753479004,-69.89857482910156,38.60576629638672,F,1
Male,53,25 - 45,African-American,0,1,0,0,2,-5.300750732421875,7.348576545715332,-52.31077575683594,23.475692749023438,M,0
Male,28,25 - 45,African-American,0,8,0,0,10,-30.274505615234375,19.969778060913086,5.10430908203125,80.98855590820312,F,1
Male,38,25 - 45,African-American,0,1,0,0,10,13.000396728515625,27.529003143310547,-5.1390380859375,62.56460952758789,F,1
Male,27,25 - 45,African-American,0,4,0,0,7,3.969635009765625,16.768047332763672,-63.9404296875,40.96122360229492,F,1
Male,24,25 - 45,Caucasian,0,1,0,0,1,-36.131103515625,14.2881441116333,62.9454345703125,59.096466064453125,F,0
Male,23,25 - 45,Caucasian,0,3,0,0,0,-67.83950805664062,6.9920220375061035,2.740997314453125,48.75480270385742,M,1
Male,42,25 - 45,Caucasian,0,1,0,0,2,-168.24412536621094,18.25298500061035,8.649932861328125,75.08383178710938,F,0
Male,34,25 - 45,African-American,0,1,0,0,6,11.11090087890625,19.429134368896484,-13.131195068359375,53.2608528137207,F,1
Female,47,25 - 45,African-American,0,1,0,0,0,86.71539306640625,8.841941833496094,-52.247650146484375,10.400127410888672,M,0
Male,29,25 - 45,African-American,0,4,0,0,4,-169.20245361328125,13.286652565002441,-46.08930969238281,52.39699172973633,F,0
Male,21,25 - 45,African-American,0,9,0,0,6,-48.90863037109375,14.953824043273926,-55.31846618652344,45.94656753540039,F,1
Male,29,25 - 45,African-American,0,9,0,0,9,-19.21331787109375,14.668683052062988,-0.902130126953125,49.665802001953125,F,1
Male,29,Greater than 45,Caucasian,0,7,0,0,0,167.960693359375,10.508755683898926,87.25942993164062,50.51176452636719,F,0
Male,27,25 - 45,Caucasian,0,2,0,0,0,-39.28546142578125,6.336244106292725,32.619110107421875,47.883914947509766,M,1
Male,27,25 - 45,African-American,0,6,0,0,4,-81.24337768554688,13.679059982299805,-39.245330810546875,61.827423095703125,F,0
Male,43,25 - 45,Caucasian,0,1,0,0,0,-20.49371337890625,8.692631721496582,52.750152587890625,42.44420623779297,F,0
Male,22,25 - 45,African-American,0,3,0,0,3,-94.15472412109375,14.823870658874512,-48.60356140136719,52.04913330078125,F,1
Male,26,25 - 45,African-American,0,5,0,0,9,55.372894287109375,20.878734588623047,-21.318145751953125,54.72343826293945,F,1
Male,27,25 - 45,African-American,0,4,0,0,8,61.868194580078125,18.114696502685547,-50.86676025390625,47.097782135009766,F,1
Male,30,25 - 45,Caucasian,0,8,0,0,8,-42.749664306640625,17.444276809692383,78.68505859375,61.25816345214844,F,1
Male,21,25 - 45,Caucasian,0,1,0,0,1,41.648345947265625,11.3245267868042,43.677154541015625,48.925899505615234,F,0
Male,67,25 - 45,Caucasian,0,1,0,0,2,-104.18048095703125,23.108789443969727,152.2608642578125,88.91448211669922,F,0
Male,39,25 - 45,African-American,0,2,0,0,5,29.32745361328125,14.439599990844727,9.461334228515625,56.50170135498047,F,0
Male,27,25 - 45,Caucasian,0,1,0,0,1,-57.479095458984375,14.793047904968262,46.692138671875,66.94035339355469,F,0
Male,23,25 - 45,Caucasian,0,4,0,0,3,12.047882080078125,19.72732925415039,68.7674560546875,88.33547973632812,F,0
Male,22,25 - 45,Caucasian,0,1,0,0,0,78.95159912109375,8.04110050201416,88.15750122070312,43.22557830810547,F,0
Male,31,25 - 45,African-American,0,9,0,0,9,-72.18463134765625,16.05471420288086,70.40884399414062,68.30209350585938,F,1
Male,21,25 - 45,African-American,0,9,0,0,6,-71.089599609375,10.353947639465332,-67.52279663085938,37.700435638427734,F,1
Male,36,25 - 45,African-American,0,3,0,0,2,1.68621826171875,7.050896644592285,-77.70254516601562,25.115039825439453,M,0
Male,48,25 - 45,African-American,0,2,0,0,3,67.97500610351562,11.620352745056152,-7.700164794921875,39.8360710144043,M,0
Male,22,25 - 45,Caucasian,0,1,0,0,0,3.512481689453125,6.091135025024414,46.728179931640625,40.807804107666016,M,1
Male,31,25 - 45,African-American,0,5,0,0,5,40.977294921875,14.308417320251465,-8.193115234375,75.87879943847656,F,0
Male,25,25 - 45,African-American,0,9,0,0,6,-72.97482299804688,11.760050773620605,-32.218597412109375,43.430442810058594,F,1
Male,44,Greater than 45,Caucasian,0,6,0,0,0,168.021484375,9.921061515808105,88.83395385742188,53.65403366088867,F,0
Male,18,Less than 25,Other,0,8,0,0,0,509.75994873046875,8.314663887023926,226.60516357421875,57.143253326416016,F,0
Male,30,25 - 45,African-American,0,7,0,0,8,-114.48092651367188,15.733497619628906,-9.00592041015625,71.98371124267578,F,0
Male,64,Greater than 45,Caucasian,0,2,0,0,0,-10.1480712890625,11.295156478881836,72.32815551757812,41.46997833251953,F,0
Male,25,25 - 45,Hispanic,0,9,0,0,1,-170.80247497558594,6.221155166625977,-24.857177734375,64.18446350097656,M,1
Male,20,25 - 45,Caucasian,0,4,0,0,1,-43.25152587890625,10.026114463806152,32.591094970703125,46.098628997802734,F,1
Male,30,25 - 45,African-American,0,4,0,0,5,-140.44119262695312,16.909019470214844,-20.717559814453125,61.75037384033203,F,0
Male,35,Greater than 45,Caucasian,0,2,0,0,0,109.06878662109375,11.108810424804688,82.61459350585938,44.11278533935547,F,0
Male,43,25 - 45,African-American,0,3,0,0,1,-15.937652587890625,9.784313201904297,-36.4571533203125,26.036916732788086,M,0
Male,38,25 - 45,African-American,0,2,0,0,5,7.8758544921875,14.613563537597656,-15.517578125,55.5716667175293,F,0
Female,45,25 - 45,African-American,0,1,0,0,0,78.90444946289062,7.662127494812012,-74.05728149414062,10.124561309814453,M,0
Male,24,25 - 45,African-American,0,7,0,0,6,-70.41864013671875,15.73957633972168,-10.864013671875,58.69150161743164,F,1
Male,24,25 - 45,African-American,0,9,0,0,5,-57.8505859375,15.742639541625977,25.82061767578125,67.5363540649414,F,1
Male,40,25 - 45,Caucasian,0,1,0,0,0,-13.484832763671875,16.628036499023438,131.99627685546875,72.11627960205078,F,0
Female,19,Greater than 45,African-American,0,6,0,0,0,349.4412841796875,2.4531428813934326,-78.07115173339844,2.0717313289642334,M,0
Female,37,25 - 45,African-American,0,2,0,0,0,109.55657958984375,4.215219974517822,-111.28363037109375,6.192305564880371,M,0
Male,27,25 - 45,Caucasian,0,4,0,0,3,30.908538818359375,16.51596450805664,35.216766357421875,62.10004425048828,F,0
Male,18,Less than 25,Other,0,8,0,0,0,653.5400390625,37.644710540771484,968.9093017578125,342.1112365722656,F,0
Male,66,25 - 45,Caucasian,0,1,0,0,4,-76.08822631835938,22.45442008972168,103.37637329101562,88.43292236328125,F,0
Male,89,25 - 45,Caucasian,0,1,0,0,1,-174.85044860839844,14.779010772705078,48.650543212890625,48.620418548583984,F,0
Male,27,Greater than 45,Caucasian,0,2,0,0,0,74.87246704101562,9.937422752380371,47.33984375,42.128074645996094,F,0
Female,95,Less than 25,Other,10,9,12,6,37,1000.98974609375,749.0,7603.0,7604.0,F,0
Male,29,25 - 45,African-American,0,6,0,0,4,-90.71768188476562,9.603644371032715,-82.37306213378906,45.92277145385742,F,0
Male,44,25 - 45,African-American,0,2,0,0,2,27.9342041015625,9.786593437194824,-4.568603515625,35.63753890991211,M,0
