sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid
Male,35,25 - 45,Caucasian,0,9,0,0,12,-33.776824951171875,18.348941802978516,-30.87939453125,25.96508026123047,M,1
Male,28,25 - 45,Caucasian,0,1,0,0,0,325.4967041015625,5.562359809875488,-229.97830200195312,6.5684895515441895,F,0
Male,18,Less than 25,African-American,0,9,0,0,0,49.366607666015625,14.841796875,-158.41061401367188,38.767574310302734,F,1
Male,25,25 - 45,Caucasian,0,2,0,0,0,-126.15042114257812,11.779206275939941,-46.103668212890625,29.932687759399414,F,0
Male,40,25 - 45,African-American,0,9,0,0,17,-119.01351928710938,34.95756149291992,-70.13551330566406,46.06055450439453,F,1
Male,24,25 - 45,African-American,0,3,0,0,1,-140.52139282226562,14.196659088134766,12.32275390625,57.765995025634766,F,0
Male,37,Less than 25,African-American,0,3,0,0,2,241.88519287109375,44.593017578125,-86.01667785644531,44.48171615600586,F,1
Male,22,25 - 45,Hispanic,0,2,0,0,1,-143.48178100585938,5.549060344696045,-123.63258361816406,26.52301025390625,F,1
Male,26,25 - 45,African-American,0,6,0,0,1,-103.9561767578125,20.385744094848633,-127.41139221191406,38.414276123046875,F,1
Male,33,25 - 45,Caucasian,0,2,0,0,1,-23.342041015625,20.274141311645508,220.928955078125,58.901573181152344,F,0
Female,19,Less than 25,African-American,0,2,0,0,0,-219.71217346191406,0.897171139717102,154.8978271484375,38.995323181152344,F,0
Male,26,25 - 45,African-American,0,8,0,0,1,-77.94418334960938,15.116275787353516,-47.21748352050781,35.07847595214844,M,1
Male,65,Greater than 45,African-American,0,1,0,0,2,160.848388671875,11.984484672546387,460.76666259765625,72.44895935058594,M,0
Female,19,Less than 25,Caucasian,0,3,0,0,0,-9.26824951171875,4.429617881774902,-132.33580017089844,29.533842086791992,M,0
Male,23,25 - 45,Hispanic,0,1,0,0,0,-114.11566162109375,-0.9833032488822937,-297.3199157714844,5.100465774536133,M,0
Male,21,Less than 25,African-American,0,9,0,0,0,-1.44476318359375,10.09875774383545,20.520050048828125,73.6139907836914,M,0
Male,30,25 - 45,African-American,0,9,0,0,1,258.27447509765625,18.366622924804688,-183.7427978515625,19.01609992980957,F,1
Female,22,25 - 45,African-American,0,1,0,0,0,-115.44000244140625,2.222651720046997,342.3873291015625,53.80156326293945,M,0
Male,22,25 - 45,African-American,0,1,0,0,0,990.8211669921875,-0.661862850189209,-298.4610595703125,0.02810049057006836,F,1
Male,18,25 - 45,Hispanic,0,2,0,0,0,1000.673828125,-0.9999329447746277,-299.99859619140625,0.0,M,0
Female,27,25 - 45,Hispanic,0,1,0,0,1,-193.2888946533203,0.37997424602508545,-225.51174926757812,11.481316566467285,F,1
Female,24,Less than 25,African-American,0,2,0,0,0,-66.250732421875,3.778578758239746,168.78854370117188,48.40966796875,M,1
Male,19,Less than 25,Caucasian,0,5,0,0,1,41.03570556640625,9.35127067565918,164.46685791015625,48.600250244140625,M,1
Male,25,25 - 45,African-American,0,7,0,0,0,238.56744384765625,20.13545036315918,-91.8970947265625,22.806039810180664,F,1
Male,26,25 - 45,African-American,0,7,0,0,1,-126.125,22.488887786865234,-84.61058044433594,41.8459358215332,F,1
Male,18,Less than 25,African-American,0,4,0,0,0,-195.27528381347656,15.371355056762695,-119.34857177734375,37.91640090942383,F,1
Male,27,25 - 45,African-American,0,9,0,0,1,-8.22467041015625,17.40035629272461,-1.461029052734375,45.05732345581055,M,1
Male,32,25 - 45,African-American,0,4,0,0,1,-17.972930908203125,13.286697387695312,14.952667236328125,39.06330871582031,M,1
Female,27,25 - 45,Caucasian,0,5,0,0,0,-89.9488525390625,11.853927612304688,-0.24407958984375,25.617902755737305,F,1
Male,18,Less than 25,African-American,0,9,0,6,9,869.1221923828125,1.7183294296264648,-222.98196411132812,6.459713459014893,F,1
Male,25,25 - 45,Caucasian,0,2,0,0,1,128.29296875,14.790321350097656,105.55548095703125,36.27637481689453,M,1
Male,44,25 - 45,African-American,0,3,0,0,23,-219.9253387451172,18.360029220581055,-27.136871337890625,49.362815856933594,F,1
Male,33,25 - 45,Caucasian,0,8,0,0,2,-101.80780029296875,25.391618728637695,-52.403106689453125,25.0635986328125,F,1
Male,25,25 - 45,African-American,0,8,0,0,1,-35.014495849609375,24.505125045776367,-53.13134765625,42.195831298828125,F,1
Female,37,25 - 45,African-American,0,5,0,0,6,-153.1473388671875,16.70027732849121,-9.558258056640625,42.48726272583008,F,1
Female,18,Less than 25,African-American,0,7,0,0,0,-178.9283905029297,1.5160908699035645,124.20950317382812,42.11697006225586,M,1
Male,21,Less than 25,Hispanic,0,4,0,0,1,-296.1449279785156,7.086055755615234,-36.154052734375,36.326454162597656,F,1
Female,32,25 - 45,Caucasian,0,6,0,0,1,22.713165283203125,14.593894004821777,34.00189208984375,29.2721004486084,F,1
Male,19,Less than 25,African-American,0,6,0,0,0,-180.78106689453125,8.668871879577637,-146.28280639648438,53.104034423828125,M,1
Male,87,Greater than 45,Hispanic,0,1,0,0,0,999.0146484375,-0.9833256006240845,-299.9472351074219,0.001359701156616211,F,0
Male,22,Less than 25,African-American,0,9,0,0,1,-120.37686157226562,10.300436973571777,-24.486236572265625,59.93789291381836,M,1
Male,77,Greater than 45,Caucasian,0,1,0,0,2,154.7027587890625,26.11541175842285,-6.430206298828125,39.29037857055664,F,0
